Month,Questions
"2008-07-01 00:00:00","4"
"2008-08-01 00:00:00","3744"
"2008-09-01 00:00:00","14023"
"2008-10-01 00:00:00","14573"
"2008-11-01 00:00:00","12709"
"2008-12-01 00:00:00","12077"
"2009-01-01 00:00:00","15824"
"2009-02-01 00:00:00","17573"
"2009-03-01 00:00:00","20477"
"2009-04-01 00:00:00","21331"
"2009-05-01 00:00:00","25808"
"2009-06-01 00:00:00","28317"
"2009-07-01 00:00:00","32468"
"2009-08-01 00:00:00","32762"
"2009-09-01 00:00:00","33040"
"2009-10-01 00:00:00","36317"
"2009-11-01 00:00:00","38499"
"2009-12-01 00:00:00","37781"
"2010-01-01 00:00:00","44923"
"2010-02-01 00:00:00","44800"
"2010-03-01 00:00:00","52224"
"2010-04-01 00:00:00","50070"
"2010-05-01 00:00:00","51986"
"2010-06-01 00:00:00","55737"
"2010-07-01 00:00:00","60834"
"2010-08-01 00:00:00","63631"
"2010-09-01 00:00:00","61206"
"2010-10-01 00:00:00","63754"
"2010-11-01 00:00:00","69677"
"2010-12-01 00:00:00","69543"
"2011-01-01 00:00:00","79889"
"2011-02-01 00:00:00","82918"
"2011-03-01 00:00:00","100933"
"2011-04-01 00:00:00","95536"
"2011-05-01 00:00:00","100210"
"2011-06-01 00:00:00","98996"
"2011-07-01 00:00:00","100424"
"2011-08-01 00:00:00","106886"
"2011-09-01 00:00:00","101698"
"2011-10-01 00:00:00","101005"
"2011-11-01 00:00:00","108428"
"2011-12-01 00:00:00","103146"
"2012-01-01 00:00:00","115407"
"2012-02-01 00:00:00","123249"
"2012-03-01 00:00:00","132946"
"2012-04-01 00:00:00","128004"
"2012-05-01 00:00:00","133477"
"2012-06-01 00:00:00","130242"
"2012-07-01 00:00:00","141818"
"2012-08-01 00:00:00","141364"
"2012-09-01 00:00:00","132097"
"2012-10-01 00:00:00","149916"
"2012-11-01 00:00:00","148112"
"2012-12-01 00:00:00","135264"
"2013-01-01 00:00:00","157663"
"2013-02-01 00:00:00","153278"
"2013-03-01 00:00:00","173606"
"2013-04-01 00:00:00","171340"
"2013-05-01 00:00:00","166234"
"2013-06-01 00:00:00","158134"
"2013-07-01 00:00:00","176397"
"2013-08-01 00:00:00","170001"
"2013-09-01 00:00:00","165110"
"2013-10-01 00:00:00","183866"
"2013-11-01 00:00:00","175728"
"2013-12-01 00:00:00","164915"
"2014-01-01 00:00:00","188516"
"2014-02-01 00:00:00","187431"
"2014-03-01 00:00:00","207180"
"2014-04-01 00:00:00","193707"
"2014-05-01 00:00:00","175541"
"2014-06-01 00:00:00","161886"
"2014-07-01 00:00:00","176601"
"2014-08-01 00:00:00","163036"
"2014-09-01 00:00:00","165520"
